Input	Result_address	GPS-north-lat	GPS-East-long	Eastings	Northings
PO17 5NA	PO17 5NA	50.883695	-1.199681	456396	109661
SO40 2RZ	SO40 2RZ	50.9313	-1.530052	433122	114755
SO40 2TA	SO40 2TA	50.931614	-1.52541	433448	114792
RG24 9RH	RG24 9RH	51.282738	-1.112358	462004	154107
PO9 2JJ	PO9 2JJ	50.856522	-0.975584	472202	106834
SO40 2RZ	SO40 2RZ	50.9313	-1.530052	433122	114755
WA9 3DA	WA9 3DA	53.439528	-2.718901	352342	393880
WA2 8WA	WA2 8WA	53.429516	-2.606862	359775	392697
L35 5DR	L35 5DR	53.420469	-2.784954	347931	391806
WA7 2DA	WA7 2DA	53.323266	-2.694681	353825	380930
L13 4AW	L13 4AW	53.407566	-2.915589	339231	390474
L31 1HW	L31 1HW	53.518669	-2.915374	339404	402834
PR8 6PL	PR8 6PL	53.640182	-2.983572	335069	416411
L9 1EP	L9 1EP	53.451064	-2.969018	335745	395360
L9 7BB	L9 7BB	53.467708	-2.933303	338141	397180
BB7 9PE	BB7 9PE	53.829706	-2.423673	372212	437131
L14 3PJ	L14 3PJ	53.410784	-2.895349	340581	390815
L19 5NG	L19 5NG	53.356366	-2.894132	340586	384760
L15 2HE	L15 2HE	53.39158	-2.936659	337742	388742
L8 7LF	L8 7LF	53.395563	-2.969396	335636	389186
PR4 3HA	PR4 3HA	53.792197	-2.87956	342155	433235
BB2 3HH	BB2 3HH	53.73556	-2.462716	369574	426674
PR7 1PP	PR7 1PP	53.665775	-2.636599	358034	418997
PR2 9HT	PR2 9HT	53.791521	-2.706842	353532	433031
PR3 2JH	PR3 2JH	53.817666	-2.654728	356992	435907
L39 2AZ	L39 2AZ	53.564616	-2.871252	342392	407909
FY4 4XQ	FY4 4XQ	53.796488	-2.985407	335189	433804
LA3 2SL	LA3 2SL	54.035949	-2.891582	341704	460363
LA1 4JJ	LA1 4JJ	54.03258	-2.804651	347393	459920
LA14 1NB	LA14 1NB	54.116196	-3.233729	319452	469628
PR5 6YA	PR5 6YA	53.737606	-2.655804	356839	427002
BB1 3BL	BB1 3BL	53.751593	-2.466955	369306	428458
BB2 1NT	BB2 1NT	53.743496	-2.492051	367645	427570
LA9 7RG	LA9 7RG	54.306116	-2.731605	352493	490303
LA14 4LF	LA14 4LF	54.136395	-3.207899	321179	471847
E9 6SR	E9 6SR	51.550634	-0.046099	535570	185336
E7 8QP	E7 8QP	51.540929	0.043312	541797	184426
LU4 9WT	LU4 9WT	51.897021	-0.464115	505778	223167
LU5 5BF	LU5 5BF	51.898363	-0.526164	501504	223227
LU4 0FB	LU4 0FB	51.897411	-0.474726	505047	223195
E13 8SH	E13 8SH	51.523002	0.037335	541438	182421
E9 5TD	E9 5TD	51.548067	-0.037672	536160	185066
E14 4DG	not found	0	0	0	0
E15 4ES	E15 4ES	51.541412	0.010023	539489	184416
N4 2ES	N4 2ES	51.56882	-0.094943	532131	187269
E7 8QP	E7 8QP	51.540929	0.043312	541797	184426
LU5 5BF	LU5 5BF	51.898363	-0.526164	501504	223227
